"lema";"n_sentits";"freq";"rank"
"informar";4;28;307
"telèfon";1;27;308
"bus";4;27;309
"realment";1;27;310
"facultat";4;27;311
"segur";7;27;312
"restaurant";3;27;313
"sense";4;27;314
"apuntar";16;27;315
"exactament";2;26;316
"nostre";3;26;317
"únic";2;26;318
"dependre";5;26;319
"activitat";8;25;320
"zona";34;25;321
"coordinador";1;25;322
"canvi";25;25;323
"tercer";8;25;324
"govern";5;25;325
"club";2;25;326
"continuar";5;25;327
"horari";5;25;328
"reunió";3;24;329
"fet";14;24;330
"proper";1;24;331
"transport";8;24;332
"ben";1;24;333
"preferent";1;24;334
"realitzar";5;24;335
"discoteca";4;24;336
"important";3;24;337
"pobla";1;24;338
"imaginar";3;24;339
"directament";2;24;340
"prop";5;24;341
"punt";117;24;342
"francès";5;24;343
"cursar";2;24;344
"dona";14;23;345
"cafè";9;23;346
"sentir";13;23;347
"vaja";1;23;348
"vida";30;23;349
"caure";33;23;350
"entendre";13;23;351
"aconseguir";6;22;352
"festa";11;22;353
"comentar";1;22;354
"perdó";2;22;355
"prendre";18;22;356
"lliure";9;22;357
"reserva";23;22;358
"nota";22;22;359
"caldre";3;22;360
"dilluns";3;22;361
"anada";4;21;362
"peix";45;21;363
"president";7;21;364
"partir";9;21;365
"mínim";8;21;366
"curs";12;21;367
"paisatge";8;21;368
"total";5;21;369
"elecció";1;21;370
"onze";5;21;371
"plaure";4;20;372
"següent";1;20;373
"transbordament";1;20;374
"oferir";5;20;375
"monestir";1;20;376
"pujar";22;20;377
"oest";7;20;378
"treball";18;20;379
"vaixell";5;20;380
"gust";7;20;381
"jardí";5;20;382
"demà";5;20;383
"ui";2;20;384
"maco";3;20;385
"dar";3;20;386
"econòmic";4;19;387
"centrar";6;19;388
"maig";2;19;389
"esport";3;19;390
"tard";11;19;391
"italià";4;19;392
"empresa";5;19;393
"atletisme";1;19;394
"preferir";1;19;395
"europeu";2;19;396
"sinó";4;19;397
"provar";7;19;398
"presentar";9;19;399
"nen";1;19;400
"assegurar";11;19;401
"estranger";4;19;402
"diner";12;19;403
"treure";19;19;404
"preciós";3;19;405
"tancar";29;19;406
"vi";12;19;407
"sonar";6;19;408
"mantenir";9;18;409
"guia";16;18;410
"música";12;18;411
"patir";8;18;412
"pe";2;18;413
"sopar";4;18;414
"just";12;18;415
"dubte";4;18;416
"tothom";1;18;417
"matar";15;18;418
"fora";6;18;419
"milió";2;18;420
"disposar";7;18;421
"crisi";3;18;422
"erm";5;18;423
"destinació";4;18;424
"servei";24;18;425
"avió";7;17;426
"organitzar";4;17;427
"dins";8;17;428
"segurament";2;17;429
"general";10;17;430
"pas";50;17;431
"prou";6;17;432
"reservar";7;17;433
"text";9;17;434
"filosofia";7;17;435
"federar";3;17;436
"pagar";19;17;437
"distància";11;17;438
"decidir";4;17;439
"obrir";37;17;440
"negoci";8;17;441
"comunicació";9;17;442
"tocar";56;17;443
"art";35;17;444
"greu";9;17;445
"tirar";56;17;446
"comunitat";9;16;447
"hotel";2;16;448
"interior";5;16;449
"ajudar";8;16;450
"malament";3;16;451
"transbord";2;16;452
"mapa";12;16;453
"correcte";1;16;454
"llengua";60;16;455
"dret";72;16;456
"pregunta";3;16;457
"banda";29;16;458
"proposar";4;16;459
"nivell";23;16;460
"pau";17;16;461
"anglès";5;16;462
"petit";6;16;463
"ahir";4;16;464
"mar";23;15;465
"abril";4;15;466
"complicar";3;15;467
"baixar";10;15;468
"programa";10;15;469
"vosaltres";1;15;470
"filològic";1;15;471
"port";10;15;472
"do";6;15;473
"aire";30;15;474
"parar";23;15;475
"sortida";11;15;476
"dinou";4;15;477
"plaça";9;15;478
"llegir";7;15;479
"idea";5;15;480
"dur";11;15;481
"mediterrani";2;15;482
"ficar";18;14;483
"complementari";2;14;484
"interessant";1;14;485
"te";9;14;486
"natural";13;14;487
"finestreta";3;14;488
"procediment";10;14;489
"aviat";6;14;490
"turisme";3;14;491
"social";2;14;492
"sant";22;14;493
"marta";2;14;494
"funcionar";1;14;495
"fort";20;14;496
"nit";17;14;497
"muntanya";5;14;498
"lliurar";7;13;499
"por";7;13;500
"màlaga";1;13;501
"estada";4;13;502
"espanyol";4;13;503
"dormir";21;13;504
"litre";1;13;505
"històric";4;13;506
"edifici";3;13;507
"vacança";3;13;508
"directe";5;13;509
"història";11;13;510
"vas";13;13;511
"faltar";9;13;512
"estiu";2;13;513
"setanta";6;13;514
"càrrec";18;13;515
"barat";4;13;516
"segle";6;13;517
"situar";5;13;518
"especial";4;12;519
"qualsevol";5;12;520
"document";5;12;521
"funció";43;12;522
"víctor";1;12;523
"oblidar";4;12;524
"divers";3;12;525
"baix";36;12;526
"dotació";4;12;527
"descartar";2;12;528
"encantar";6;12;529
"contra";15;12;530
"sector";14;12;531
"vorejar";3;12;532
"bizantí";4;12;533
"pactar";2;12;534
"pescador";1;12;535
"introducció";6;12;536
"aigua";69;12;537
"guapo";1;12;538
"estil";15;12;539
"cultural";1;12;540
"triar";5;12;541
"ple";16;12;542
"data";2;11;543
"estat";31;11;544
"celebrar";8;11;545
"seixanta";6;11;546
"especialment";3;11;547
"pintura";11;11;548
"quasi";1;11;549
"popular";4;11;550
"davant";13;11;551
"dimarts";1;11;552
"senyor";15;11;553
"ministeri";7;11;554
"titulació";3;11;555
"divendres";3;11;556
"partit";10;11;557
"diumenge";3;11;558
"central";9;11;559
"campus";1;11;560
"dramàtic";4;11;561
"obtenir";2;11;562
"utilitzar";1;11;563
"ningú";3;11;564
"trajecte";1;11;565
"junt";7;11;566
"enviar";5;11;567
"correu";6;11;568
"pis";3;11;569
"càmping";2;11;570
"fotre";18;11;571
"policia";4;10;572
"servir";24;10;573
"mal";49;10;574
"tractar";21;10;575
"troncal";3;10;576
"sec";15;10;577
"conveni";2;10;578
"associació";8;10;579
"pastís";2;10;580
"preocupar";6;10;581
"propi";7;10;582
"volta";29;10;583
"cobrar";8;10;584
"combinació";8;10;585
"comptar";22;10;586
"estona";3;10;587
"aproximadament";1;10;588
"llibre";21;10;589
"llogar";5;10;590
"sort";9;10;591
"resultar";3;10;592
"macar";3;10;593
"costat";13;10;594
"reunir";5;10;595
"número";7;10;596
"moure";10;10;597
"recorregut";1;10;598
"oferta";5;10;599
"pam";15;10;600
"palestí";2;10;601
"roda";21;10;602
"petició";5;10;603
"intentar";2;10;604
"ne";1;10;605
"comprar";5;10;606
"existir";2;10;607
"ministre";9;10;608
"congrés";3;9;609
"exprés";5;9;610
"qüestió";9;9;611
"colla";7;9;612
"fàcil";5;9;613
"turc";4;9;614
"formalitzar";5;9;615
"mel";7;9;616
"ce";2;9;617
"evidentment";1;9;618
"gener";1;9;619
"marxa";15;9;620
"tranquil";3;9;621
"mesura";18;9;622
"matinada";3;9;623
"produir";7;9;624
"catorze";4;9;625
"informe";5;9;626
"fi";24;9;627
"aprovar";5;9;628
"aconsellar";4;9;629
"albanès";4;9;630
"seguretat";3;9;631
"optar";1;9;632
"aprofitar";6;9;633
"tretze";5;9;634
"anterior";4;9;635
"arreu";14;9;636
"cultura";4;9;637
"majoria";9;9;638
"normal";6;9;639
"pressupost";2;9;640
"intercanvi";1;9;641
"mena";7;9;642
"cíclada";1;9;643
"diari";9;9;644
"atac";6;9;645
"economia";17;9;646
"galeria";15;9;647
"situació";5;9;648
"agost";3;9;649
"investigació";1;9;650
"alt";20;9;651
"examen";4;9;652
"requisit";2;9;653
"sentit";18;9;654
"convalidar";1;9;655
"espionatge";2;8;656
"consell";11;8;657
"entrada";25;8;658
"preferència";5;8;659
"límit";5;8;660
"iogurt";1;8;661
"pobre";7;8;662
"hospital";3;8;663
"fon";1;8;664
"meravellós";1;8;665
"famós";2;8;666
"mòbil";9;8;667
"jove";8;8;668
"colon";1;8;669
"familiar";9;8;670
"mitjà";11;8;671
"avortament";1;8;672
"local";6;8;673
"global";1;8;674
"universitari";2;8;675
"nacional";2;8;676
"arribada";4;8;677
"compra";2;8;678
"ei";2;8;679
"xifra";7;8;680
"alumne";3;8;681
"conseller";7;8;682
"taula";46;8;683
"animal";18;8;684
"gairebé";1;8;685
"record";5;8;686
"variar";4;8;687
"trigar";1;8;688
"ton";1;8;689
"olivera";3;8;690
"fruit";8;8;691
"bar";3;8;692
"resta";6;8;693
"vista";22;8;694
"rebre";10;8;695
"destí";3;8;696
"marcar";13;8;697
"vendre";12;8;698
"ambient";5;8;699
"mà";97;8;700
"món";33;8;701
"polític";9;8;702
"ajuntament";5;8;703
"practicar";4;8;704
"relació";20;8;705
"connexió";9;8;706
"avi";4;8;707
"enlloc";2;8;708
"força";43;8;709
"oficina";4;8;710
"acte";17;8;711
"mare";25;8;712
"los";1;8;713
"paper";40;8;714
"concretament";2;8;715
"sol";25;8;716
"espectacular";2;8;717
"augmentar";4;8;718
"porta";22;8;719
"espai";21;8;720
"indicar";5;8;721
"lluny";7;8;722
"obra";24;8;723
"allargar";17;8;724
"companyia";14;8;725
"omplir";13;8;726
"considerar";4;8;727
"nombre";41;8;728
"despesa";8;7;729
"cert";10;7;730
"dirigir";5;7;731
"coincidir";3;7;732
"perillós";1;7;733
"magnífic";5;7;734
"noranta";6;7;735
"entrevista";5;7;736
"electrònic";3;7;737
"notar";2;7;738
"plantejar";1;7;739
"encant";5;7;740
"dintre";2;7;741
"premi";7;7;742
"dissabte";5;7;743
"consulta";6;7;744
"morir";11;7;745
"escollir";1;7;746
"gastar";8;7;747
"constar";3;7;748
"entregar";3;7;749
"obligatori";1;7;750
"atendre";6;7;751
"intenció";7;7;752
"malgrat";3;7;753
"falta";8;7;754
"dedicar";6;7;755
"destacar";3;7;756
"propina";1;7;757
"font";13;7;758
"principal";6;7;759
"visita";9;7;760
"preparar";7;7;761
"ehem";1;7;762
"ciutadà";6;7;763
"rotllo";1;7;764
"pi";32;7;765
"juny";1;7;766
"sols";1;7;767
"terra";33;7;768
"hajar";1;7;769
"població";5;7;770
"dinar";6;7;771
"enfadar";1;7;772
"esportiu";5;7;773
"efectivament";2;7;774
"recomanable";1;7;775
"comissió";7;7;776
"permetre";3;7;777
"llei";35;7;778
"còmode";3;7;779
"mediació";2;7;780
"be";5;7;781
"apartat";4;7;782
"barri";4;7;783
"pitjor";3;7;784
"muntar";9;7;785
"finalment";1;7;786
"desitjar";4;7;787
"marge";11;7;788
"atur";1;7;789
"suficient";3;7;790
"residència";6;7;791
"facilitar";2;7;792
"arbre";53;7;793
"escola";8;7;794
"escriure";10;7;795
"producte";9;7;796
"ordinador";2;7;797
"disponible";1;7;798
"queixar";2;7;799
"pare";20;6;800
"igualment";1;6;801
"clima";7;6;802
"aeroport";1;6;803
"novembre";1;6;804
"corba";2;6;805
"banc";35;6;806
"gel";6;6;807
"badia";3;6;808
"vigilar";3;6;809
"casal";5;6;810
"imprimir";6;6;811
"ajuda";3;6;812
"parell";14;6;813
"raó";17;6;814
"setze";5;6;815
"gana";7;6;816
"carrer";9;6;817
"camp";49;6;818
"importar";4;6;819
"precisament";2;6;820
"via";27;6;821
"matrícula";7;6;822
"director";2;6;823
"sèrie";27;6;824
"octubre";2;6;825
"sistema";59;6;826
"etcètera";1;6;827
"doble";13;6;828
"piscina";3;6;829
"senyalar";2;6;830
"fill";17;6;831
"single";1;6;832
"gravar";6;6;833
"córrer";20;6;834
"excursió";2;6;835
"pa";41;6;836
"teatre";9;6;837
"expedient";6;6;838
"equiparació";1;6;839
"maria";1;6;840
"inventar";4;6;841
"confirmar";10;6;842
"aportar";4;6;843
"secretari";8;6;844
"cu";1;6;845
"tradicional";2;6;846
"horrible";1;6;847
"recollir";6;6;848
"convalidació";1;6;849
"vos";1;6;850
"violència";8;6;851
"membre";9;6;852
"projecte";5;6;853
"comentari";2;6;854
"colònia";12;6;855
"au";2;6;856
"museu";2;6;857
"equivocar";2;6;858
"procés";12;6;859
"banyar";4;6;860
"quilòmetre";1;6;861
"diferència";8;6;862
"cos";55;6;863
"broma";9;6;864
"coma";12;6;865
"mort";30;6;866
"taronger";3;6;867
"quantitat";9;6;868
"sota";6;6;869
"merda";11;6;870
"con";14;6;871
"personalment";1;6;872
"gastronomia";2;6;873
"circa";1;6;874
"causa";10;6;875
"sindicat";2;6;876
"simplement";2;6;877
"mercat";11;6;878
"afegir";6;6;879
"cinema";4;6;880
"cuina";10;6;881
"automàtic";4;5;882
"reconeixement";7;5;883
"teatral";2;5;884
"zoo";1;5;885
"difícil";3;5;886
"atenció";5;5;887
"secretaria";2;5;888
"crear";2;5;889
"to";17;5;890
"vall";10;5;891
"memòria";22;5;892
"entitat";4;5;893
"gens";5;5;894
"departament";4;5;895
"addicional";1;5;896
"menor";6;5;897
"pròxim";2;5;898
"contrari";9;5;899
"senzill";4;5;900
"títol";17;5;901
"unió";11;5;902
"vari";2;5;903
"endemà";3;5;904
"camí";44;5;905
"terme";26;5;906
"denúncia";2;5;907
"lleig";3;5;908
"plegat";5;5;909
"cançó";6;5;910
"durada";4;5;911
"tallar";35;5;912
"llarg";28;5;913
"màxim";5;5;914
"taller";4;5;915
"curset";1;5;916
"matricular";3;5;917
"veu";46;5;918
"ocupar";9;5;919
"vespre";3;5;920
"darrere";13;5;921
"través";7;5;922
"presumpte";1;5;923
"risc";1;5;924
"adreçar";13;5;925
"salari";4;5;926
"dolor";3;5;927
"origen";5;5;928
"afectar";10;5;929
"març";1;5;930
"collar";18;5;931
"estrany";9;5;932
"investigar";1;5;933
"preveure";1;5;934
"físic";7;5;935
"registrar";2;5;936
"alemany";7;5;937
"combinar";5;5;938
"confiança";7;5;939
"sou";9;5;940
"organització";4;5;941
"plegar";12;5;942
